celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_judge_avg_score,week_1_judge_rank,week_2_judge_avg_score,week_2_judge_rank,week_3_judge_avg_score,week_3_judge_rank,week_4_judge_avg_score,week_4_judge_rank,week_5_judge_avg_score,week_5_judge_rank,week_6_judge_avg_score,week_6_judge_rank,week_7_judge_avg_score,week_7_judge_rank,week_8_judge_avg_score,week_8_judge_rank,week_9_judge_avg_score,week_9_judge_rank,week_10_judge_avg_score,week_10_judge_rank,week_11_judge_avg_score,week_11_judge_rank
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,6.666666666666667,1.0,8.666666666666666,1.0,8.0,2.0,7.0,3.0,9.0,1.0,9.0,2.0,,,,,,,,,,
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,4.333333333333333,6.0,5.666666666666667,5.0,7.0,4.0,8.666666666666666,1.0,7.833333333333333,2.0,9.166666666666666,1.0,,,,,,,,,,
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,6.0,4.0,4.666666666666667,6.0,4.333333333333333,5.0,,,,,,,,,,,,,,,,
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,4,6.666666666666667,1.0,8.0,2.0,8.666666666666666,1.0,8.333333333333334,2.0,,,,,,,,,,,,,,
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3,6.666666666666667,1.0,7.0,3.0,7.333333333333333,3.0,6.666666666666667,4.0,7.5,3.0,,,,,,,,,,,,
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,6,6.0,4.0,6.333333333333333,4.0,,,,,,,,,,,,,,,,,,
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,9,7.666666666666667,2.0,5.666666666666667,8.0,,,,,,,,,,,,,,,,,,
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,6,6.666666666666667,6.0,7.333333333333333,5.0,8.666666666666666,3.0,8.333333333333334,4.0,7.333333333333333,6.0,,,,,,,,,,,,
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,5,6.0,8.0,7.333333333333333,5.0,7.333333333333333,5.0,7.0,6.0,8.0,4.0,7.666666666666667,4.0,,,,,,,,,,
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,4,6.333333333333333,7.0,6.666666666666667,7.0,8.333333333333334,4.0,8.666666666666666,2.0,8.333333333333334,3.0,9.0,3.0,8.833333333333334,3.0,,,,,,,,
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3,7.333333333333333,4.0,9.666666666666666,1.0,9.0,1.0,8.666666666666666,2.0,10.0,1.0,10.0,1.0,9.166666666666666,1.0,9.5555,2.0,,,,,,
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2,7.0,5.0,7.666666666666667,4.0,6.333333333333333,7.0,8.0,5.0,7.666666666666667,5.0,7.666666666666667,4.0,6.833333333333333,4.0,8.888866666666667,3.0,,,,,,
