celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,第1周_反向均值,第1周_反向25%CI,第1周_反向75%CI,第2周_反向均值,第2周_反向25%CI,第2周_反向75%CI,第3周_反向均值,第3周_反向25%CI,第3周_反向75%CI,第4周_反向均值,第4周_反向25%CI,第4周_反向75%CI,第5周_反向均值,第5周_反向25%CI,第5周_反向75%CI,第6周_反向均值,第6周_反向25%CI,第6周_反向75%CI,第7周_反向均值,第7周_反向25%CI,第7周_反向75%CI,第8周_反向均值,第8周_反向25%CI,第8周_反向75%CI,第9周_反向均值,第9周_反向25%CI,第9周_反向75%CI,第10周_反向均值,第10周_反向25%CI,第10周_反向75%CI,第11周_反向均值,第11周_反向25%CI,第11周_反向75%CI
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,0.10729628704400307,0.070923108034017,0.14259121849006734,0.11469342883163501,0.07655202383943405,0.15177962060030478,0.12505346922183674,0.08352137346360732,0.16366011948995218,,,,,,,,,,,,,,,,,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,0.09612693470146004,0.06271532419370172,0.12825718923941284,0.10346838547883934,0.06894254531775594,0.13602220302791093,0.11332424133354572,0.07715330064424261,0.1485032378701798,0.12949157967800112,0.09020862005991934,0.16937140181002597,,,,,,,,,,,,,,,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,0.042646429379118556,0.011599997306069853,0.07266381654233392,0.04666263059115959,0.014558751181359141,0.07854246091270639,0.05274658827949996,0.018498219943713413,0.08688727780482654,0.06243640584523994,0.02629963932790789,0.10049981445207347,0.07288745092708801,0.03465764734544703,0.11400879979003589,0.14256472318614313,0.10418115574240623,0.18743893959676072,0.14256472318614313,0.10418115574240623,0.18743893959676072,0.16807069601970046,0.1259075601610631,0.21756005493549888,,,,,,,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,0.1419838388190314,0.053531135439853904,0.21138348862944495,0.1508924862099074,0.058912990927551076,0.2220345131366623,0.16368914601103593,0.06678862780354608,0.24149801190751835,0.18166530309313708,0.07685664861617274,0.26537776757940346,0.20305364325952882,0.09383611766330338,0.29747503621568133,0.3381444365083532,0.2051953951608905,0.4587865705523435,0.3381444365083532,0.2051953951608905,0.4587865705523435,0.3861355913669028,0.24071546301520264,0.5202096025965871,0.45304359405509037,0.2916769626172851,0.6054765631234594,,,,,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,0.09756545266985371,0.007953631767693413,0.1662614743411249,0.10436519152117127,0.01165063656026459,0.17552977321111546,0.11251706259517467,0.014823146942773618,0.18986268455657296,0.12472921632622741,0.02307295431747749,0.20909948122889413,0.1400094056546885,0.031830717272409326,0.22945923961609607,0.22649050555395894,0.09172647756580193,0.3453646507735848,0.22649050555395894,0.09172647756580193,0.3453646507735848,0.25725834653289564,0.11159553087746632,0.3854027291088158,0.30182016358615665,0.14593901646431257,0.4492169268148774,0.507878800552201,0.3586417464714874,0.6551947095687399,,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,0.09713255814902817,0.009482894109970223,0.1622345396520024,0.10364837957262882,0.01276032946727899,0.17261957979243778,0.11206752451465105,0.017331247926402955,0.1846237604234755,0.12379351783340606,0.02169967638092424,0.2030417812976217,0.13828832868050567,0.03180976309029651,0.22439979842093166,0.2260283341325406,0.09829480129937276,0.3464999337566806,0.2260283341325406,0.09829480129937276,0.3464999337566806,0.25694799268836743,0.12308109195376772,0.3822782268631323,0.3012905016881183,0.1562358757209153,0.4430582139812461,0.5029710993716553,0.36482131794622574,0.6410458248526811,,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,0.08599532833150016,0.060836910308972675,0.11099514814109555,0.09238973331717867,0.06684841234306803,0.11815882541871213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,0.2747492950119044,0.13358880322008376,0.38327916184140565,0.2907017067312261,0.14394720016208953,0.40639626504482207,0.31207113643077444,0.15804804236803666,0.4343076683090905,0.3444995336142318,0.18054350149384013,0.48630829573236123,0.3842433872478881,0.2034870168972888,0.5459974332591364,,,,,,,,,,,,,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,0.06733268816003046,0.04427349628007514,0.09209049408433864,0.0723489947371372,0.04736625715053899,0.0985605025203797,0.07969171418239343,0.05351900001980285,0.10723304275148833,0.09189830482169893,0.06462677322218838,0.12129227553353789,0.10517876128482115,0.07649293818358269,0.13674487503609428,,,,,,,,,,,,,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,0.045374401768919936,0.014948769640629196,0.07487944017951542,0.049241521096702295,0.01756699156043635,0.08015892372208086,0.05460039186696328,0.020639191257129298,0.08861029271300358,0.06326020116178746,0.027534223548009697,0.09912818992618277,0.0734043006036458,0.03579441088033207,0.11233893961534389,0.14246623478241632,0.10644331566672523,0.18667734920049595,0.14246623478241632,0.10644331566672523,0.18667734920049595,,,,,,,,,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,0.07345662062946243,0.05580744842373003,0.09384477131355529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
