celebrity,season,placement,celebrity_industry,celebrity_homecountry/region,Week1_Feasible_Width,Week1_IQR,Week1_Relative_Uncertainty,Week2_Feasible_Width,Week2_IQR,Week2_Relative_Uncertainty,Week3_Feasible_Width,Week3_IQR,Week3_Relative_Uncertainty,Week4_Feasible_Width,Week4_IQR,Week4_Relative_Uncertainty,Week5_Feasible_Width,Week5_IQR,Week5_Relative_Uncertainty,Week6_Feasible_Width,Week6_IQR,Week6_Relative_Uncertainty,Week7_Feasible_Width,Week7_IQR,Week7_Relative_Uncertainty,Week8_Feasible_Width,Week8_IQR,Week8_Relative_Uncertainty,Week9_Feasible_Width,Week9_IQR,Week9_Relative_Uncertainty,Week10_Feasible_Width,Week10_IQR,Week10_Relative_Uncertainty,Week11_Feasible_Width,Week11_IQR,Week11_Relative_Uncertainty
Harry Hamlin,3,9,Actor/Actress,United States,0.144426297,0.07166811045605032,0.6679458574988592,0.156496025,0.0752275967608707,0.6559015414152589,0.265687983,0.0801387460263448,0.6408358482577072,,,,,,,,,,,,,,,,,,,,,,,,
Vivica A. Fox,3,8,Actor/Actress,United States,0.342757296,0.06554186504571109,0.6818262253889973,0.343468261,0.067079657710155,0.6483106641677879,1.0,0.0713499372259372,0.6296087790778488,0.265136515,0.07916278175010662,0.6113353620903841,,,,,,,,,,,,,,,,,,,,,
Monique Coleman,3,4,Actor/Actress,United States,0.182369937,0.061063819236264104,1.4318624120537402,0.506516739,0.06398370973134719,1.3711980855076196,1.0,0.0683890578611131,1.2965588882967183,0.265136515,0.0742001751241656,1.1884120189122411,1.0,0.07935115244458879,1.0886805812974125,0.266934153,0.08325778385435449,0.5839998983875341,0.257394907,0.08325778385435449,0.5839998983875341,0.256870734,0.09165249477443568,0.5453210877623345,,,,,,,,,
Joey Lawrence,3,3,Actor/Actress,United States,0.209419962,0.157852353189591,1.1117628210544805,0.926053957,0.1631215222091113,1.0810446981580781,0.265687983,0.1747093841039723,1.067324183438488,0.338373838,0.1885211189632307,1.0377387192455723,0.208831779,0.20363891855237798,1.002882367848486,0.347447627,0.25359117539145304,0.749949276143683,1.0,0.25359117539145304,0.749949276143683,0.506875734,0.27949413958138447,0.7238238220724168,1.0,0.31379960050617434,0.6926476935639359,,,,,,
Mario Lopez,3,2,Actor/Actress,United States,0.9407806,0.1583078425734315,1.6225809263563875,0.156496025,0.1638791366508509,1.5702470743572285,0.265687983,0.1750395376137993,1.5556710562519256,0.896438396,0.1860265269114167,1.4914430827887757,1.0,0.1976285223436867,1.4115374707832615,0.837268136,0.2536381732077829,1.1198622767317565,0.335795802,0.2536381732077829,1.1198622767317565,0.76145789,0.27380719823134947,1.064327754265255,1.0,0.3032779103505649,1.0048298521446934,1.0,0.29655296309725254,0.5839049843679626,,,
Emmitt Smith,3,1,Athlete,United States,0.504711981,0.15275164554203222,1.572610136630697,0.343468261,0.1598592503251588,1.542322716325167,0.13041256,0.1672925124970726,1.49278315213612,0.265136515,0.1813421049166975,1.4648756097289115,1.0,0.19259003533063512,1.3926702070106396,0.512706864,0.2482051324573079,1.0981151253000125,1.0,0.2482051324573079,1.0981151253000125,0.506875734,0.2591971349093646,1.008753297495984,1.0,0.2868223382603308,0.9519793576408054,1.0,0.27622450690645545,0.5491856435718341,,,
Shanna Moakler,3,10,Model,United States,0.160351644,0.0501582378321229,0.5832670077003466,0.17824087,0.0513104130756441,0.555369208605602,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willa Ford,3,7,Singer/Rapper,United States,0.342757296,0.24969035862132188,0.9087934460778261,0.209551217,0.2624490648827325,0.9028122601474263,0.265687983,0.2762596259410539,0.8852456818041408,0.502520253,0.3057647942385211,0.887562287909842,1.0,0.34251041636184765,0.8913892281011017,,,,,,,,,,,,,,,,,,
Sara Evans,3,6,Singer/Rapper,United States,0.123542906,0.0478169978042635,0.7101602373369719,0.156496025,0.0511942453698408,0.7076013364918596,0.33976789,0.0537140427316855,0.6740229305238454,0.148966149,0.05666550231134951,0.6166109638397783,0.178622201,0.060251936852511595,0.5728526949404839,,,,,,,,,,,,,,,,,,
Jerry Springer,3,5,TV Personality,England,0.132562914,0.059930670538886295,1.320803541258741,0.117364304,0.0625919321616445,1.271121012665801,0.137062295,0.06797110145587429,1.2448830334677734,0.160156017,0.07159396637817311,1.1317378867492403,0.178622201,0.0765445287350118,1.0427798930790444,0.247437627,0.08023403353377069,0.563179294071394,0.22961163,0.08023403353377069,0.563179294071394,,,,,,,,,,,,
