celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week1排名,week2排名,week3排名,week4排名,week5排名,week6排名,week7排名,week8排名,week9排名,week10排名,week11排名
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,9.0,10.0,9.0,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,5.0,5.0,2.0,6.0,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,6.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,3.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,1.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,2.0,2.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,8.0,8.0,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,4.0,6.0,8.0,4.0,5.0,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,10.0,7.0,4.0,8.0,7.0,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,7.0,9.0,7.0,7.0,6.0,5.0,5.0,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,11.0,,,,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,8.0,7.0,8.0,7.0,6.0,7.0,5.0,,,,
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,,
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,9.0,11.0,10.0,9.0,8.0,,,,,,
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,2.0,1.0,7.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,4.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,5.0,10.0,9.0,,,,,,,,
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,6.0,9.0,,,,,,,,,
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,7.0,4.0,3.0,4.0,5.0,5.0,,,,,
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,11.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,,,
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,10.0,8.0,5.0,8.0,,,,,,,
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,7.0,6.0,7.0,5.0,3.0,4.0,5.0,5.0,,,
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,4.0,7.0,3.0,7.0,4.0,7.0,6.0,,,,
