celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_fail,week_2_fail,week_3_fail,week_4_fail,week_5_fail,week_6_fail,week_7_fail,week_8_fail,week_9_fail,week_10_fail,week_11_fail
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,correct,correct,correct,correct,correct,ERROR,ERROR,correct,correct,correct,correct
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,4,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,8,correct,ERROR,ERROR,ERROR,correct,correct,correct,correct,correct,correct,correct
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,10,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Heather Mills,Jonathan Roberts,Model,,England,39,4,7,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,5,ERROR,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2,correct,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,9,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,5,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,6,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,7,correct,correct,correct,correct,correct,ERROR,correct,correct,correct,correct,correct
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,4,correct,correct,correct,correct,correct,correct,correct,correct,ERROR,correct,correct
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,9,correct,correct,correct,ERROR,correct,correct,correct,correct,correct,correct,correct
Josie Maran,Alec Mazo,Model,California,United States,29,5,12,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,11,correct,ERROR,correct,correct,correct,correct,correct,correct,correct,correct,correct
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
