celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,0,0.144426297,0.144426297,0.090786806,0,0.156496025,0.156496025,0.100014234,0,0.265687983,0.265687983,0.111146692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,0,0.342757296,0.342757296,0.09098705,0,0.343468261,0.343468261,0.100007288,0,1,1,0.111105457,0,0.265136515,0.265136515,0.125027196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,0,0.182369937,0.182369937,0.090941737,0,0.506516739,0.506516739,0.100003252,0,1,1,0.111105487,0,0.265136515,0.265136515,0.125027191,0,1,1,0.14281549,0,0.266934153,0.266934153,0.200125904,0,0.257394907,0.257394907,0.200016944,0,0.256870734,0.256870734,0.250000137,,,,,,,,,,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,0,0.209419962,0.209419962,0.091011925,0.073946043,1,0.926053957,0.09999472,0,0.265687983,0.265687983,0.111146737,0,0.338373838,0.338373838,0.125249917,0,0.208831779,0.208831779,0.142743211,0,0.347447627,0.347447627,0.199973315,0,1,1,0.199911622,0,0.506875734,0.506875734,0.249999124,0,1,1,0.333333333,,,,,,,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,0.0592194,1,0.9407806,0.09078904,0,0.156496025,0.156496025,0.100014234,0,0.265687983,0.265687983,0.111146737,0.103561604,1,0.896438396,0.124737398,0,1,1,0.142815492,0.162731864,1,0.837268136,0.200033645,0,0.335795802,0.335795802,0.199914062,0.23854211,1,0.76145789,0.250001582,0,1,1,0.333333333,0,1,1,0.5,,,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,0,0.504711981,0.504711981,0.09089557,0,0.343468261,0.343468261,0.100007288,0,0.13041256,0.13041256,0.111072406,0,0.265136515,0.265136515,0.125027186,0,1,1,0.142815492,0,0.512706864,0.512706864,0.200057512,0,1,1,0.199911618,0,0.506875734,0.506875734,0.249999158,0,1,1,0.333333333,0,1,1,0.5,,,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,0,0.160351644,0.160351644,0.090887122,0,0.17824087,0.17824087,0.099973071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,0,0.342757296,0.342757296,0.09098705,0,0.209551217,0.209551217,0.099986248,0,0.265687983,0.265687983,0.111146737,0,0.502520253,0.502520253,0.124886312,0,1,1,0.142815492,,,,,,,,,,,,,,,,,,,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,0,0.123542906,0.123542906,0.090875577,0,0.156496025,0.156496025,0.100014113,0,0.33976789,0.33976789,0.11103059,0,0.148966149,0.148966149,0.124903957,0,0.178622201,0.178622201,0.142997411,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,0,0.132562914,0.132562914,0.090827786,0,0.117364304,0.117364304,0.099985552,0,0.137062295,0.137062295,0.111099157,0,0.160156017,0.160156017,0.125140843,0,0.178622201,0.178622201,0.142997414,0,0.247437627,0.247437627,0.199809624,0,0.22961163,0.22961163,0.200245755,,,,,,,,,,,,,,,,
