celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_judge_percentages,week_1_judge_rank,week_2_judge_percentages,week_2_judge_rank,week_3_judge_percentages,week_3_judge_rank,week_4_judge_percentages,week_4_judge_rank,week_5_judge_percentages,week_5_judge_rank,week_6_judge_percentages,week_6_judge_rank,week_7_judge_percentages,week_7_judge_rank,week_8_judge_percentages,week_8_judge_rank,week_9_judge_percentages,week_9_judge_rank,week_10_judge_percentages,week_10_judge_rank,week_11_judge_percentages,week_11_judge_rank
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,0.08018867924528301,8.0,0.09130434782608696,7.0,0.10628019323671498,4.0,,,,,,,,,,,,,,,,
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,0.10377358490566038,3.0,0.10434782608695652,3.0,0.13043478260869565,1.0,0.12121212121212122,4.0,,,,,,,,,,,,,,
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,0.08962264150943396,6.0,0.11304347826086956,2.0,0.13043478260869565,1.0,0.12121212121212122,4.0,0.14917127071823205,1.0,0.19491525423728814,4.0,0.2,4.0,0.24311926605504589,4.0,,,,,,
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,0.09905660377358491,5.0,0.12608695652173912,1.0,0.10628019323671498,4.0,0.13636363636363635,3.0,0.13812154696132597,5.0,0.2033898305084746,3.0,0.2111111111111111,1.0,0.24770642201834864,2.0,0.3333333333333333,1.0,,,,
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,0.12264150943396226,1.0,0.09130434782608696,7.0,0.10628019323671498,4.0,0.14646464646464646,1.0,0.14917127071823205,1.0,0.23728813559322035,1.0,0.2074074074074074,3.0,0.26146788990825687,1.0,0.3333333333333333,1.0,0.5,1.0,,
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,0.11320754716981132,2.0,0.10434782608695652,3.0,0.09178743961352658,9.0,0.12121212121212122,4.0,0.14917127071823205,1.0,0.211864406779661,2.0,0.2111111111111111,1.0,0.24770642201834864,2.0,0.3333333333333333,1.0,0.5,1.0,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,0.08490566037735849,7.0,0.09565217391304348,6.0,,,,,,,,,,,,,,,,,,
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,0.10377358490566038,3.0,0.1,5.0,0.10628019323671498,4.0,0.1414141414141414,2.0,0.14917127071823205,1.0,,,,,,,,,,,,
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,0.07075471698113207,10.0,0.09130434782608696,7.0,0.12077294685990338,3.0,0.10101010101010101,8.0,0.13259668508287292,6.0,,,,,,,,,,,,
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,5,0.07547169811320754,9.0,0.08260869565217391,10.0,0.10144927536231885,8.0,0.1111111111111111,7.0,0.13259668508287292,6.0,0.15254237288135594,5.0,0.17037037037037037,5.0,,,,,,,,
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,11,0.05660377358490566,11.0,,,,,,,,,,,,,,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,6,0.0825242718446602,8.0,0.08571428571428572,6.0,0.09174311926605505,9.0,0.08421052631578947,7.0,0.10227272727272728,6.0,0.11176470588235295,7.0,0.14563106796116504,5.0,,,,,,,,
