celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_fail,week_2_fail,week_3_fail,week_4_fail,week_5_fail,week_6_fail,week_7_fail,week_8_fail,week_9_fail,week_10_fail,week_11_fail
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2,0,0,0,0,0,1,0,0,0,0,0
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1,0,0,0,0,0,0,0,0,0,0,0
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,5,0,0,1,0,0,0,0,0,0,0,0
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,4,0,0,0,1,0,0,0,0,0,0,0
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3,0,0,0,0,1,0,0,0,0,0,0
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,6,0,1,0,0,0,0,0,0,0,0,0
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,9,0,1,0,0,0,0,0,0,0,0,0
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,6,0,0,0,0,1,0,0,0,0,0,0
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,5,0,0,0,0,0,1,0,0,0,0,0
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,4,0,0,0,0,0,0,1,0,0,0,0
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3,0,0,0,0,0,0,0,1,0,0,0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2,0,0,0,0,0,0,0,1,0,0,0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,8,0,0,1,0,0,0,0,0,0,0,0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,7,0,0,0,1,0,0,0,0,0,0,0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1,0,0,0,0,0,0,0,0,0,0,0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,10,1,0,0,0,0,0,0,0,0,0,0
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,9,0,0,1,0,0,0,0,0,0,0,0
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,8,0,0,0,1,0,0,0,0,0,0,0
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,4,0,0,0,0,0,0,0,1,0,0,0
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3,0,0,0,0,0,0,0,0,1,0,0
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2,0,0,0,0,0,0,0,0,0,1,0
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1,0,0,0,0,0,0,0,0,0,0,0
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,10,0,1,0,0,0,0,0,0,0,0,0
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,7,0,0,0,0,1,0,0,0,0,0,0
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,6,0,0,0,0,1,0,0,0,0,0,0
