TripID,UserID,StartTime,EndTime,StartLoc_X,StartLoc_Y,EndLoc_X,EndLoc_Y,Battery_Start,Battery_End
10001,U1231,2025-10-13 00:57:07,2025-10-13 01:01:07,303,1685,946,874,72,68.5
10002,U0006,2025-10-13 00:58:09,2025-10-13 01:05:09,149,74,1194,951,92,87.5
10003,U0201,2025-10-13 00:24:31,2025-10-13 00:33:31,132,161,1560,205,95,90.0
10004,U0431,2025-10-13 00:29:12,2025-10-13 00:35:12,1666,1481,1819,223,99,95.1
10005,U0771,2025-10-13 00:15:00,2025-10-13 00:19:00,1825,1406,1071,794,54,50.4
10006,U1142,2025-10-13 00:44:57,2025-10-13 00:53:57,99,94,311,1665,63,58.1
10007,U0289,2025-10-13 00:21:35,2025-10-13 00:28:35,0,57,1042,865,59,54.7
10008,U0745,2025-10-13 00:44:08,2025-10-13 00:49:08,135,0,1006,615,56,52.7
10009,U0239,2025-10-13 00:06:53,2025-10-13 00:19:53,1831,1467,33,176,91,84.0
10010,U1075,2025-10-13 00:50:06,2025-10-13 01:02:06,1851,1456,136,107,99,91.1
10011,U1179,2025-10-13 00:28:03,2025-10-13 00:34:03,929,654,1764,1491,53,49.1
10012,U1072,2025-10-13 00:11:40,2025-10-13 00:13:40,907,1310,1080,1235,44,43.3
10013,U0292,2025-10-13 00:44:54,2025-10-13 00:50:54,1517,409,44,25,49,43.5
10014,U1436,2025-10-13 00:48:30,2025-10-13 00:51:30,1738,1403,1025,1098,53,50.4
10015,U1123,2025-10-13 00:22:14,2025-10-13 00:27:14,1864,1436,1021,979,96,92.3
10016,U0415,2025-10-13 00:29:21,2025-10-13 00:41:21,131,1,1838,1583,57,49.4
10017,U1343,2025-10-13 00:14:50,2025-10-13 00:16:50,997,812,933,1151,66,64.9
10018,U0410,2025-10-13 00:01:06,2025-10-13 00:13:06,87,89,1835,1493,46,38.8
10019,U0890,2025-10-13 00:58:30,2025-10-13 01:03:30,1015,852,1833,1496,89,85.0
10020,U0938,2025-10-13 00:19:40,2025-10-13 00:27:40,73,70,1555,175,92,87.5
10021,U0375,2025-10-13 00:45:43,2025-10-13 00:50:43,1675,232,1778,1483,42,37.5
10022,U0759,2025-10-13 00:58:17,2025-10-13 01:11:17,1815,1505,79,149,86,79.2
10023,U0921,2025-10-13 00:58:01,2025-10-13 01:04:01,1525,275,751,1227,64,60.2
10024,U1190,2025-10-13 00:30:55,2025-10-13 00:39:55,127,1587,1537,191,45,37.2
10025,U0248,2025-10-13 00:43:51,2025-10-13 00:53:51,72,42,128,1764,72,65.9
10026,U0317,2025-10-13 00:10:43,2025-10-13 00:18:43,76,111,1635,104,52,46.5
10027,U1118,2025-10-13 00:13:40,2025-10-13 00:18:40,1576,180,1002,935,64,60.6
10028,U1225,2025-10-13 00:31:48,2025-10-13 00:37:48,898,1001,1848,1421,64,60.9
10029,U1370,2025-10-13 00:29:19,2025-10-13 00:35:19,0,161,999,811,78,74.4
10030,U1040,2025-10-13 00:09:41,2025-10-13 00:11:41,1024,935,1115,812,43,42.5
10031,U0218,2025-10-13 00:03:42,2025-10-13 00:11:42,1804,1405,191,1654,92,85.9
10032,U1324,2025-10-13 01:52:27,2025-10-13 01:59:27,1745,1499,1545,206,77,72.7
10033,U0672,2025-10-13 01:09:33,2025-10-13 01:14:33,1109,857,1646,228,51,48.4
10034,U1020,2025-10-13 01:52:53,2025-10-13 01:57:53,952,856,1768,1439,48,44.8
10035,U1211,2025-10-13 01:14:39,2025-10-13 01:26:39,1712,1533,186,0,80,73.4
10036,U0689,2025-10-13 02:15:29,2025-10-13 02:22:29,70,242,1053,1197,54,49.6
10037,U1121,2025-10-13 02:54:09,2025-10-13 03:05:09,1878,1562,100,97,87,79.5
10038,U0093,2025-10-13 02:06:38,2025-10-13 02:14:38,1901,1581,309,1749,66,59.9
10039,U0991,2025-10-13 03:22:57,2025-10-13 03:29:57,61,87,281,1600,78,73.0
10040,U0283,2025-10-13 03:45:19,2025-10-13 03:49:19,351,1763,1032,1238,93,90.1
10041,U1092,2025-10-13 04:33:16,2025-10-13 04:36:16,1208,1041,1727,1473,62,59.8
10042,U0384,2025-10-13 04:54:24,2025-10-13 05:00:24,1839,1534,1472,204,63,58.4
10043,U1020,2025-10-13 05:10:09,2025-10-13 05:12:09,1129,745,1165,1071,77,75.7
10044,U0668,2025-10-13 05:55:29,2025-10-13 06:00:29,1810,1542,970,808,64,59.7
10045,U1080,2025-10-13 05:48:16,2025-10-13 05:57:16,130,193,1935,1620,79,72.0
10046,U0474,2025-10-13 05:21:16,2025-10-13 05:25:16,212,183,920,720,42,39.0
10047,U1117,2025-10-13 06:58:53,2025-10-13 07:06:53,1656,209,1864,1556,87,82.0
10048,U0721,2025-10-13 06:44:00,2025-10-13 06:52:00,1259,939,265,1882,56,51.9
10049,U1139,2025-10-13 06:25:09,2025-10-13 06:33:09,31,106,970,1132,60,54.8
10050,U0550,2025-10-13 06:41:30,2025-10-13 06:47:30,70,213,1000,1013,71,66.6
10051,U0198,2025-10-13 06:09:15,2025-10-13 06:16:15,42,32,1266,1125,67,60.6
10052,U0124,2025-10-13 06:37:52,2025-10-13 06:41:52,1821,1420,945,1095,74,70.6
10053,U0643,2025-10-13 06:22:08,2025-10-13 06:24:08,1082,762,1170,1124,98,96.8
10054,U0645,2025-10-13 06:42:30,2025-10-13 06:49:30,1039,811,86,63,63,58.9
10055,U0029,2025-10-13 06:25:03,2025-10-13 06:27:03,1294,1025,959,772,59,57.5
10056,U0118,2025-10-13 06:16:14,2025-10-13 06:20:14,1752,1442,1039,792,90,86.6
10057,U0252,2025-10-13 06:32:26,2025-10-13 06:39:26,171,1717,1191,1123,51,46.8
10058,U0934,2025-10-13 06:23:48,2025-10-13 06:31:48,1736,200,0,244,83,77.4
10059,U1245,2025-10-13 06:50:45,2025-10-13 06:56:45,121,110,1144,802,70,65.7
10060,U1385,2025-10-13 06:17:37,2025-10-13 06:23:37,1209,1055,21,106,81,75.7
10061,U0598,2025-10-13 06:07:45,2025-10-13 06:11:45,1576,245,995,746,87,84.4
10062,U0577,2025-10-13 06:27:18,2025-10-13 06:33:18,1015,880,260,1875,44,39.8
10063,U0654,2025-10-13 06:51:19,2025-10-13 06:56:19,1115,819,1739,1501,77,73.9
10064,U1149,2025-10-13 06:29:28,2025-10-13 06:36:28,0,71,297,1553,45,39.9
10065,U0077,2025-10-13 06:31:07,2025-10-13 06:42:07,310,1828,1654,163,77,69.5
10066,U0059,2025-10-13 06:37:39,2025-10-13 06:45:39,1197,1116,0,124,91,85.8
10067,U0851,2025-10-13 06:33:05,2025-10-13 06:43:05,1800,1498,62,143,41,33.5
10068,U0257,2025-10-13 06:42:53,2025-10-13 06:47:53,1854,1488,1200,916,82,78.7
10069,U0523,2025-10-13 06:12:01,2025-10-13 06:19:01,805,1126,128,72,61,56.1
10070,U1109,2025-10-13 06:02:21,2025-10-13 06:04:21,886,1212,976,1077,64,63.4
10071,U1284,2025-10-13 06:23:50,2025-10-13 06:30:50,1889,1468,703,1149,86,81.5
10072,U1332,2025-10-13 06:10:23,2025-10-13 06:16:23,145,81,344,1650,63,56.9
10073,U0116,2025-10-13 06:06:41,2025-10-13 06:11:41,103,164,951,925,99,95.5
10074,U0455,2025-10-13 06:44:48,2025-10-13 06:52:48,1679,137,695,1121,86,80.5
10075,U0738,2025-10-13 06:13:12,2025-10-13 06:20:12,38,122,1022,1173,68,62.7
10076,U0412,2025-10-13 06:42:07,2025-10-13 06:48:07,1086,1065,232,215,54,49.3
10077,U1380,2025-10-13 06:01:42,2025-10-13 06:08:42,949,843,49,137,76,71.9
10078,U1287,2025-10-13 06:14:18,2025-10-13 06:19:18,207,110,1027,783,64,60.6
10079,U0726,2025-10-13 06:56:22,2025-10-13 07:02:22,1891,1589,731,1201,75,70.4
10080,U0173,2025-10-13 06:20:44,2025-10-13 06:33:44,271,0,1875,1469,57,48.8
10081,U0038,2025-10-13 06:07:18,2025-10-13 06:11:18,927,745,1498,283,79,76.2
10082,U0092,2025-10-13 06:18:38,2025-10-13 06:24:38,98,146,953,1087,91,86.0
10083,U0291,2025-10-13 06:54:50,2025-10-13 07:02:50,1765,1462,1585,151,75,70.4
10084,U0086,2025-10-13 06:09:22,2025-10-13 06:16:22,1892,1400,898,774,67,63.4
10085,U0605,2025-10-13 06:26:47,2025-10-13 06:33:47,23,108,1061,1085,62,57.4
10086,U0796,2025-10-13 06:09:40,2025-10-13 06:15:40,170,5,976,864,76,71.7
10087,U0866,2025-10-13 06:48:13,2025-10-13 06:53:13,1082,1115,1647,166,82,78.6
10088,U0368,2025-10-13 06:57:34,2025-10-13 07:02:34,976,739,22,40,69,64.8
10089,U0059,2025-10-13 06:46:15,2025-10-13 06:52:15,1056,885,243,147,40,36.3
10090,U0131,2025-10-13 06:24:41,2025-10-13 06:33:41,238,1739,133,68,87,80.7
10091,U0260,2025-10-13 06:08:52,2025-10-13 06:10:52,925,870,1291,934,65,63.7
10092,U1489,2025-10-13 07:45:47,2025-10-13 07:51:47,1457,190,711,1248,62,57.4
10093,U1327,2025-10-13 07:27:04,2025-10-13 07:31:04,1680,221,830,855,92,87.9
10094,U0248,2025-10-13 07:05:07,2025-10-13 07:12:07,1734,105,1022,990,43,38.9
10095,U0707,2025-10-13 07:33:21,2025-10-13 07:41:21,1696,160,983,1243,58,54.0
10096,U0640,2025-10-13 07:01:15,2025-10-13 07:06:15,292,1704,1270,1093,82,78.2
10097,U0886,2025-10-13 07:45:00,2025-10-13 07:51:00,242,1842,1369,1065,80,74.7
10098,U0643,2025-10-13 07:02:21,2025-10-13 07:06:21,1517,310,1128,1047,66,63.3
10099,U1412,2025-10-13 07:21:49,2025-10-13 07:29:49,1591,86,641,1165,57,51.3
10100,U0782,2025-10-13 07:12:40,2025-10-13 07:18:40,1698,364,1208,1303,69,65.8
10101,U1161,2025-10-13 07:55:12,2025-10-13 07:59:12,1661,282,983,1166,76,71.8
10102,U0242,2025-10-13 07:14:57,2025-10-13 07:17:57,1546,343,1219,762,76,74.2
10103,U0298,2025-10-13 07:37:47,2025-10-13 07:41:47,1662,226,1200,990,64,60.6
10104,U1150,2025-10-13 07:48:06,2025-10-13 07:55:06,1674,164,707,1070,83,79.0
10105,U0939,2025-10-13 07:20:34,2025-10-13 07:25:34,1553,32,1100,1101,42,37.4
10106,U1381,2025-10-13 07:50:32,2025-10-13 07:55:32,121,148,1009,850,66,62.0
10107,U1014,2025-10-13 07:28:30,2025-10-13 07:34:30,19,135,961,966,97,93.0
10108,U0123,2025-10-13 07:31:00,2025-10-13 07:36:00,1589,29,1033,818,78,74.2
10109,U1145,2025-10-13 07:29:53,2025-10-13 07:37:53,139,0,1217,963,82,77.3
10110,U1320,2025-10-13 07:06:10,2025-10-13 07:11:10,1610,227,961,1096,63,59.3
10111,U0025,2025-10-13 07:38:21,2025-10-13 07:45:21,65,0,1134,718,92,87.6
10112,U0551,2025-10-13 07:36:09,2025-10-13 07:41:09,293,1624,1002,1100,73,70.1
10113,U1055,2025-10-13 07:27:46,2025-10-13 07:33:46,294,1670,1333,944,84,80.1
10114,U1419,2025-10-13 07:55:39,2025-10-13 08:00:39,259,1673,929,1226,67,63.9
10115,U0676,2025-10-13 07:11:11,2025-10-13 07:14:11,217,1695,722,1277,73,70.4
10116,U1445,2025-10-13 07:46:16,2025-10-13 07:51:16,421,1770,1021,916,47,42.9
10117,U1069,2025-10-13 07:38:54,2025-10-13 07:42:54,1549,201,1089,1101,61,57.4
10118,U0860,2025-10-13 07:26:42,2025-10-13 07:32:42,288,1852,1300,1059,59,54.6
10119,U1348,2025-10-13 07:06:36,2025-10-13 07:11:36,224,1589,1214,1126,91,86.9
10120,U1243,2025-10-13 07:09:35,2025-10-13 07:17:35,1591,23,1213,1288,55,50.9
10121,U0513,2025-10-13 07:28:05,2025-10-13 07:37:05,43,10,1132,1034,49,43.8
10122,U0985,2025-10-13 07:54:40,2025-10-13 08:00:40,268,1826,1029,840,57,52.9
10123,U0753,2025-10-13 07:23:58,2025-10-13 07:28:58,1592,209,898,1075,63,58.8
10124,U1192,2025-10-13 07:57:49,2025-10-13 08:00:49,1607,164,1122,775,47,44.0
10125,U0989,2025-10-13 07:32:34,2025-10-13 07:36:34,281,1649,968,782,89,85.1
10126,U1353,2025-10-13 07:59:11,2025-10-13 08:03:11,1615,117,1207,926,64,60.8
10127,U1152,2025-10-13 07:51:35,2025-10-13 07:54:35,375,1695,774,1251,76,73.7
10128,U0218,2025-10-13 07:44:53,2025-10-13 07:49:53,1664,322,1058,1007,87,83.7
10129,U0430,2025-10-13 07:04:00,2025-10-13 07:11:00,1660,189,766,1259,49,43.6
10130,U1468,2025-10-13 07:49:52,2025-10-13 07:57:52,69,79,1241,1058,56,50.7
10131,U1333,2025-10-13 07:02:12,2025-10-13 07:10:12,284,0,1221,993,73,68.4
10132,U1130,2025-10-13 07:29:18,2025-10-13 07:38:18,205,0,1103,1146,46,40.4
10133,U1174,2025-10-13 07:09:53,2025-10-13 07:13:53,458,1887,910,1120,67,64.1
10134,U0367,2025-10-13 07:21:44,2025-10-13 07:25:44,1530,266,1069,945,63,60.3
10135,U0937,2025-10-13 07:20:54,2025-10-13 07:26:54,1615,219,705,1251,41,36.7
10136,U1393,2025-10-13 07:51:34,2025-10-13 07:54:34,438,1645,802,1200,74,72.1
10137,U0616,2025-10-13 07:48:50,2025-10-13 07:52:50,1577,296,1163,797,96,94.0
10138,U1394,2025-10-13 07:51:24,2025-10-13 07:57:24,191,1912,1199,1007,62,57.7
10139,U1464,2025-10-13 07:24:28,2025-10-13 07:31:28,0,62,776,1221,61,55.6
10140,U0194,2025-10-13 07:46:02,2025-10-13 07:53:02,407,1767,1103,833,98,94.4
10141,U0336,2025-10-13 07:55:31,2025-10-13 08:00:31,1559,377,818,1047,65,61.9
10142,U0888,2025-10-13 07:51:22,2025-10-13 07:57:22,1756,138,1087,1133,97,93.2
10143,U1356,2025-10-13 07:37:34,2025-10-13 07:40:34,241,1574,793,1186,60,57.6
10144,U1098,2025-10-13 07:30:53,2025-10-13 07:39:53,139,0,757,1397,77,71.8
10145,U1444,2025-10-13 07:28:43,2025-10-13 07:33:43,89,61,1060,696,99,94.9
10146,U1243,2025-10-13 07:22:30,2025-10-13 07:28:30,1803,140,1077,1048,70,65.4
10147,U0401,2025-10-13 07:09:02,2025-10-13 07:14:02,218,72,984,1087,74,69.1
10148,U1391,2025-10-13 07:14:22,2025-10-13 07:20:22,1558,291,945,1180,67,62.7
10149,U1313,2025-10-13 07:10:19,2025-10-13 07:13:19,366,1570,792,1116,85,82.7
10150,U1121,2025-10-13 07:06:55,2025-10-13 07:13:55,64,44,848,1116,62,57.9
10151,U0748,2025-10-13 07:14:30,2025-10-13 07:21:30,1670,106,1006,1138,46,42.3
10152,U0943,2025-10-13 07:55:36,2025-10-13 08:02:36,100,134,886,1107,78,73.3
10153,U0221,2025-10-13 07:00:52,2025-10-13 07:05:52,1516,247,861,1183,54,50.2
10154,U0773,2025-10-13 07:25:12,2025-10-13 07:30:12,1575,154,1464,969,90,87.3
10155,U0162,2025-10-13 07:14:07,2025-10-13 07:19:07,1470,272,993,1192,84,80.3
10156,U0566,2025-10-13 07:04:47,2025-10-13 07:10:47,196,133,1130,751,40,36.5
10157,U0086,2025-10-13 07:22:11,2025-10-13 07:29:11,374,1801,1189,832,91,86.8
10158,U1322,2025-10-13 07:32:52,2025-10-13 07:38:52,248,1712,1071,861,81,76.5
10159,U0653,2025-10-13 07:41:22,2025-10-13 07:46:22,54,113,948,744,84,80.4
10160,U0189,2025-10-13 07:46:12,2025-10-13 07:52:12,269,1813,1134,920,50,46.0
10161,U0146,2025-10-13 07:25:49,2025-10-13 07:29:49,297,1580,913,1173,81,78.2
10162,U0965,2025-10-13 07:01:17,2025-10-13 07:07:17,286,1732,1377,1078,84,79.1
10163,U0497,2025-10-13 07:09:35,2025-10-13 07:14:35,1608,66,997,1065,73,68.8
10164,U0085,2025-10-13 07:22:17,2025-10-13 07:29:17,152,182,1122,968,51,46.5
10165,U0387,2025-10-13 07:40:53,2025-10-13 07:48:53,36,290,1200,1001,92,87.0
10166,U1086,2025-10-13 07:37:18,2025-10-13 07:42:18,1568,256,817,846,57,53.9
10167,U1496,2025-10-13 07:23:54,2025-10-13 07:28:54,305,1726,840,776,66,62.5
10168,U0494,2025-10-13 07:44:40,2025-10-13 07:51:40,317,1807,928,669,83,77.9
10169,U1189,2025-10-13 07:52:37,2025-10-13 07:57:37,1636,155,1022,1051,95,91.6
10170,U0251,2025-10-13 07:36:15,2025-10-13 07:40:15,390,1693,1005,1092,68,64.6
10171,U0349,2025-10-13 07:28:21,2025-10-13 07:32:21,311,1779,971,1025,86,82.2
10172,U0852,2025-10-13 07:45:24,2025-10-13 07:51:24,75,79,1103,802,51,46.7
10173,U0105,2025-10-13 07:34:18,2025-10-13 07:41:18,138,91,805,1247,69,64.4
10174,U0174,2025-10-13 07:22:52,2025-10-13 07:26:52,1532,258,1225,1099,48,45.1
10175,U1448,2025-10-13 07:20:33,2025-10-13 07:24:33,292,1702,863,1218,76,73.1
10176,U1422,2025-10-13 07:29:45,2025-10-13 07:34:45,310,1697,871,787,73,69.7
10177,U1334,2025-10-13 07:41:27,2025-10-13 07:47:27,25,163,976,1120,57,51.7
10178,U0345,2025-10-13 07:01:03,2025-10-13 07:06:03,353,170,837,1016,98,94.3
10179,U0588,2025-10-13 07:01:17,2025-10-13 07:05:17,262,1694,835,1387,40,37.9
10180,U1436,2025-10-13 07:17:15,2025-10-13 07:20:15,1610,309,1033,839,71,68.5
10181,U1110,2025-10-13 07:53:27,2025-10-13 08:00:27,1647,244,753,1174,93,88.0
10182,U0180,2025-10-13 07:11:08,2025-10-13 07:14:08,1553,332,1274,1031,72,69.4
10183,U0791,2025-10-13 07:08:07,2025-10-13 07:12:07,418,1506,1101,916,60,56.9
10184,U0486,2025-10-13 07:03:41,2025-10-13 07:08:41,331,1826,995,774,48,43.2
10185,U0572,2025-10-13 07:22:56,2025-10-13 07:26:56,1474,300,1157,907,97,94.4
10186,U0706,2025-10-13 07:53:29,2025-10-13 07:58:29,325,1580,1109,779,98,93.6
10187,U1421,2025-10-13 07:03:45,2025-10-13 07:09:45,439,1750,1193,1070,49,45.8
10188,U1127,2025-10-13 07:22:50,2025-10-13 07:28:50,257,1674,1247,984,95,91.0
10189,U0184,2025-10-13 07:52:05,2025-10-13 07:58:05,285,1607,1311,1132,68,63.8
10190,U0171,2025-10-13 07:55:46,2025-10-13 08:00:46,144,41,944,812,87,83.7
10191,U0773,2025-10-13 07:08:35,2025-10-13 07:12:35,336,1788,854,1243,48,45.7
10192,U1089,2025-10-13 07:21:40,2025-10-13 07:26:40,419,1808,1274,987,69,64.9
10193,U0360,2025-10-13 07:57:42,2025-10-13 08:03:42,1704,172,1047,1238,46,41.3
10194,U0966,2025-10-13 07:53:40,2025-10-13 07:58:40,67,224,1107,1063,68,63.5
10195,U0261,2025-10-13 07:32:02,2025-10-13 07:39:02,284,1798,1048,746,69,64.8
10196,U0517,2025-10-13 07:14:46,2025-10-13 07:20:46,256,1696,1148,1053,58,54.5
10197,U0781,2025-10-13 07:16:17,2025-10-13 07:19:17,1714,140,1081,719,76,72.9
10198,U0466,2025-10-13 07:48:55,2025-10-13 07:54:55,162,1607,1058,827,72,67.9
10199,U0561,2025-10-13 07:48:59,2025-10-13 07:53:59,241,1543,1221,881,57,53.3
10200,U0914,2025-10-13 07:57:42,2025-10-13 08:04:42,126,29,1169,865,48,43.2
10201,U0345,2025-10-13 07:08:34,2025-10-13 07:12:34,152,141,1043,715,72,67.8
10202,U1432,2025-10-13 07:38:07,2025-10-13 07:41:07,275,1646,869,1215,70,67.4
10203,U0340,2025-10-13 07:30:33,2025-10-13 07:36:33,311,1617,1049,810,67,62.8
10204,U1232,2025-10-13 07:02:30,2025-10-13 07:09:30,1703,77,788,1205,60,54.3
10205,U1112,2025-10-13 07:53:16,2025-10-13 07:59:16,292,1603,1035,778,42,37.6
10206,U0497,2025-10-13 07:15:43,2025-10-13 07:23:43,177,19,1143,1063,59,53.6
10207,U1273,2025-10-13 07:26:25,2025-10-13 07:30:25,287,1659,1096,1185,46,42.8
10208,U1373,2025-10-13 07:27:36,2025-10-13 07:33:36,298,1748,1209,1101,62,58.2
10209,U1395,2025-10-13 07:57:08,2025-10-13 08:00:08,1597,213,1051,598,82,79.8
10210,U1053,2025-10-13 07:58:18,2025-10-13 08:02:18,387,1778,1001,1191,97,93.7
10211,U1416,2025-10-13 07:27:50,2025-10-13 07:33:50,1663,231,817,1074,54,49.7
10212,U1077,2025-10-13 07:17:54,2025-10-13 07:24:54,1597,33,1337,1103,59,54.9
10213,U0880,2025-10-13 07:23:36,2025-10-13 07:28:36,1647,285,895,1102,92,88.5
