"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.678,
"AUS","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.648,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.747,
"AUS","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.628,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.011,
"AUT","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.973,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.668,
"AUT","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.632,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.981,
"BEL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.918,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.805,
"BEL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.826,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2019",1,
"CZE","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.764,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.796,
"CZE","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.697,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.227,
"DNK","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.15,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.068,
"DNK","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.939,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.652,
"FIN","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.721,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.63,
"FIN","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.67,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.756,
"DEU","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.603,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.641,
"DEU","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.502,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.551,
"GRC","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.475,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.641,
"GRC","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.572,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.588,
"HUN","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.479,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.527,
"HUN","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.521,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.368,
"ISL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.19,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.322,
"ISL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.357,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.819,
"ITA","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.768,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.928,
"ITA","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.812,
"LUX","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.226,
"LUX","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.2,
"LUX","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.125,
"LUX","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.168,
"NLD","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.136,
"NLD","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.843,
"NLD","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.112,
"NLD","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.001,
"NZL","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.461,
"NZL","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.421,
"NZL","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.425,
"NZL","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.451,
"NOR","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.545,
"NOR","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.637,
"NOR","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.578,
"NOR","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.495,
"PRT","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.525,
"PRT","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.497,
"PRT","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",0.661,
"PRT","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.577,
"SVK","GRADRATETRY","DOCTL_MEN","PC","A","2019",1.172,
"SVK","GRADRATETRY","DOCTL_MEN","PC","A","2020",1.071,
"SVK","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.284,
"SVK","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",1.289,
"ESP","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.872,
"ESP","GRADRATETRY","DOCTL_MEN","PC","A","2020",0.916,
"ESP","GRADRATETRY","DOCTL_WOMEN","PC","A","2019",1.039,
"ESP","GRADRATETRY","DOCTL_WOMEN","PC","A","2020",0.992,
"SWE","GRADRATETRY","DOCTL_MEN","PC","A","2019",0.593,
