"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2019",52.478458,
"AUS","EDUTRY","25_34","PC_AGE","A","2020",54.614105,
"AUS","EDUTRY","25_34","PC_AGE","A","2021",54.307404,
"AUS","EDUTRY","25_34","PC_AGE","A","2022",55.932438,
"AUT","EDUTRY","25_34","PC_AGE","A","2019",41.610401,
"AUT","EDUTRY","25_34","PC_AGE","A","2020",41.419125,
"AUT","EDUTRY","25_34","PC_AGE","A","2021",42.444088,
"AUT","EDUTRY","25_34","PC_AGE","A","2022",43.081669,
"BEL","EDUTRY","25_34","PC_AGE","A","2019",47.282982,
"BEL","EDUTRY","25_34","PC_AGE","A","2020",48.508053,
"BEL","EDUTRY","25_34","PC_AGE","A","2021",50.869141,
"BEL","EDUTRY","25_34","PC_AGE","A","2022",51.361351,
"CAN","EDUTRY","25_34","PC_AGE","A","2019",62.965115,
"CAN","EDUTRY","25_34","PC_AGE","A","2020",64.386749,
"CAN","EDUTRY","25_34","PC_AGE","A","2021",66.357666,
"CAN","EDUTRY","25_34","PC_AGE","A","2022",66.970039,
"CZE","EDUTRY","25_34","PC_AGE","A","2019",32.580391,
"CZE","EDUTRY","25_34","PC_AGE","A","2020",33.001759,
"CZE","EDUTRY","25_34","PC_AGE","A","2021",35.038952,
"CZE","EDUTRY","25_34","PC_AGE","A","2022",34.620773,
"DNK","EDUTRY","25_34","PC_AGE","A","2019",47.097672,
"DNK","EDUTRY","25_34","PC_AGE","A","2020",42.575157,
"DNK","EDUTRY","25_34","PC_AGE","A","2021",49.040775,
"DNK","EDUTRY","25_34","PC_AGE","A","2022",49.010643,
"FIN","EDUTRY","25_34","PC_AGE","A","2019",41.820766,
"FIN","EDUTRY","25_34","PC_AGE","A","2020",44.665718,
"FIN","EDUTRY","25_34","PC_AGE","A","2021",40.05682,
"FIN","EDUTRY","25_34","PC_AGE","A","2022",40.761635,
"FRA","EDUTRY","25_34","PC_AGE","A","2019",48.052528,
"FRA","EDUTRY","25_34","PC_AGE","A","2020",49.449242,
"FRA","EDUTRY","25_34","PC_AGE","A","2021",50.256466,
"FRA","EDUTRY","25_34","PC_AGE","A","2022",50.389492,
"DEU","EDUTRY","25_34","PC_AGE","A","2019",33.260235,
"DEU","EDUTRY","25_34","PC_AGE","A","2020",34.876732,
"DEU","EDUTRY","25_34","PC_AGE","A","2021",35.882999,
"DEU","EDUTRY","25_34","PC_AGE","A","2022",37.280796,
"GRC","EDUTRY","25_34","PC_AGE","A","2019",42.406635,
"GRC","EDUTRY","25_34","PC_AGE","A","2020",43.685429,
"GRC","EDUTRY","25_34","PC_AGE","A","2021",44.18454,
"GRC","EDUTRY","25_34","PC_AGE","A","2022",45.237022,
"HUN","EDUTRY","25_34","PC_AGE","A","2019",30.589085,
"HUN","EDUTRY","25_34","PC_AGE","A","2020",30.688835,
"HUN","EDUTRY","25_34","PC_AGE","A","2021",32.914749,
"HUN","EDUTRY","25_34","PC_AGE","A","2022",31.901915,
