Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,IT,ZA,,,2,live,,P,
2015,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,ZA,NG,,1,tusks,,P,W
2015,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZA,MZ,1,,ivory carvings,,P,W
2015,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZA,MZ,1,,trophies,,P,W
2015,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,ZM,,1,ivory pieces,,P,W
2015,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,PT,ZA,,,1,leather products (small),,P,W
2015,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,AU,ZA,ZW,,1,skins,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AU,ZA,ZW,,1,skins,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,2,,skins,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,2,,skulls,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CN,ZA,,,1,trophies,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,FR,ZA,MZ,2,,trophies,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,PH,ZA,,1,,trophies,,P,W
2015,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,RU,ZA,,1,,trophies,,P,W
2015,I,Dalbergia nigra,,Fabales,Leguminosae,Dalbergia,US,ZA,XX,,1,derivatives,,P,W
2015,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,FR,ZA,,1,,trophies,,P,W
2015,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,MY,ZA,,6,,trophies,,P,W
2015,II,Sarkidiornis melanotos,Aves,Anseriformes,Anatidae,Sarkidiornis,US,ZA,,,1,trophies,,P,W
2015,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,ZA,XX,,2,trophies,,P,W
