Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by donor countries (millions of constant 2021 United States dollars) - DC_ODA_BDVDL"
Australia,AUS,2002,13820000
Australia,AUS,2003,660000
Australia,AUS,2004,990000
Australia,AUS,2005,17970000
Australia,AUS,2006,78530000
Australia,AUS,2007,76420000
Australia,AUS,2008,114820000
Australia,AUS,2009,195470000
Australia,AUS,2010,419340000
Australia,AUS,2011,336540000
Australia,AUS,2012,319330000
Australia,AUS,2013,275320000
Australia,AUS,2014,227490000
Australia,AUS,2015,257430000
Australia,AUS,2016,315190000
Australia,AUS,2017,241450000
Australia,AUS,2018,222850000
Australia,AUS,2019,201710000
Australia,AUS,2020,173470000
Australia,AUS,2021,165110000
Austria,AUT,2002,11010000
Austria,AUT,2003,5050000
Austria,AUT,2004,10710000
Austria,AUT,2005,16790000
Austria,AUT,2006,18330000
Austria,AUT,2007,14110000
Austria,AUT,2008,32939999.999999996
Austria,AUT,2009,31900000
Austria,AUT,2010,17920000
Austria,AUT,2011,18720000
Austria,AUT,2012,16860000
Austria,AUT,2013,49250000
Austria,AUT,2014,22990000
Austria,AUT,2015,20310000
Austria,AUT,2016,22970000
Austria,AUT,2017,25230000
Austria,AUT,2018,24130000
Austria,AUT,2019,24230000
Austria,AUT,2020,23370000
Austria,AUT,2021,32540000
Belgium,BEL,2002,6360000
Belgium,BEL,2003,6230000
Belgium,BEL,2004,20990000
Belgium,BEL,2005,28550000
Belgium,BEL,2006,31960000
Belgium,BEL,2007,61840000
Belgium,BEL,2008,120900000
Belgium,BEL,2009,168530000
Belgium,BEL,2010,156700000
Belgium,BEL,2011,164550000
Belgium,BEL,2012,93470000
Belgium,BEL,2013,166090000
Belgium,BEL,2014,191230000
Belgium,BEL,2015,231380000
Belgium,BEL,2016,153800000
Belgium,BEL,2017,212890000
Belgium,BEL,2018,140170000
Belgium,BEL,2019,106180000
Belgium,BEL,2020,142450000
Belgium,BEL,2021,128130000
Canada,CAN,2002,92050000
Canada,CAN,2003,114480000
Canada,CAN,2004,273980000
Canada,CAN,2005,6910000
Canada,CAN,2006,95190000
Canada,CAN,2007,66790000.00000001
Canada,CAN,2008,32799999.999999996
Canada,CAN,2009,138160000
Canada,CAN,2010,50710000
Canada,CAN,2011,79450000
Canada,CAN,2012,329390000
Canada,CAN,2013,53440000
Canada,CAN,2014,43740000
Canada,CAN,2015,72070000
Canada,CAN,2016,27940000
Canada,CAN,2017,5500000
Canada,CAN,2018,29040000
Canada,CAN,2019,158030000
Canada,CAN,2020,49410000
Canada,CAN,2021,223010000
Czechia,CZE,2011,380000
Czechia,CZE,2012,5790000
Czechia,CZE,2013,4310000
Czechia,CZE,2014,5160000
Czechia,CZE,2015,3950000
Czechia,CZE,2016,4750000
Czechia,CZE,2017,3870000
Czechia,CZE,2018,1980000
Czechia,CZE,2019,4010000
Czechia,CZE,2020,4730000
Czechia,CZE,2021,3640000
Denmark,DNK,2002,107680000
Denmark,DNK,2003,100220000
Denmark,DNK,2004,176570000
Denmark,DNK,2005,192960000
Denmark,DNK,2006,168010000
Denmark,DNK,2007,110480000
Denmark,DNK,2008,125570000
Denmark,DNK,2009,118110000
Denmark,DNK,2010,259550000
Denmark,DNK,2011,159030000
Denmark,DNK,2012,123860000
Denmark,DNK,2013,245370000
Denmark,DNK,2014,354770000
Denmark,DNK,2015,174820000
Denmark,DNK,2016,43490000
Denmark,DNK,2017,59420000
Denmark,DNK,2018,38360000
Denmark,DNK,2019,13080000
Denmark,DNK,2020,45970000
Denmark,DNK,2021,26190000
Finland,FIN,2002,15140000
Finland,FIN,2003,4790000
Finland,FIN,2004,19980000
Finland,FIN,2005,3520000
Finland,FIN,2006,3910000
Finland,FIN,2007,55310000
Finland,FIN,2008,130070000
Finland,FIN,2009,116070000
Finland,FIN,2010,116270000
Finland,FIN,2011,195350000
Finland,FIN,2012,45820000
Finland,FIN,2013,19540000
Finland,FIN,2014,14150000
Finland,FIN,2015,22360000
Finland,FIN,2016,6940000
Finland,FIN,2017,3760000
Finland,FIN,2018,24800000
Finland,FIN,2019,10390000
Finland,FIN,2020,3860000
Finland,FIN,2021,67500000
France,FRA,2002,117470000
France,FRA,2003,71090000
France,FRA,2004,123470000
France,FRA,2005,75790000
France,FRA,2006,126910000
France,FRA,2007,170230000
France,FRA,2008,207450000
France,FRA,2009,237680000
France,FRA,2010,452370000
France,FRA,2011,311810000
France,FRA,2012,529039999.99999994
France,FRA,2013,244290000
France,FRA,2014,688740000
France,FRA,2015,1834060000
France,FRA,2016,2181600000
France,FRA,2017,2626150000
France,FRA,2018,1691460000
France,FRA,2019,364350000
France,FRA,2020,456060000
France,FRA,2021,2700960000
