Ranking,Country,Quantity,Filters
1,United States of America,889795,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
2,China,413070,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
3,Canada,367272,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
4,Germany,145020,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
5,Italy,116706,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
6,Türkiye,81008,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
7,Thailand,63073,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
8,"Hong Kong, SAR",53047,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
9,Viet Nam,50432,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
10,Greece,44119,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
11,South Africa,33597,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
12,Singapore,32175,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
13,France,26219,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
14,United Kingdom of Great Britain and Northern Ireland,20476,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
15,Portugal,15232,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
16,Switzerland,15218,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
17,Russian Federation,15146,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
18,Norway,14743,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
19,Mexico,14336,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
20,Spain,13644,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
21,Denmark,13019,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
22,Japan,11059,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
23,Hungary,10777,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
24,Australia,7477,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
25,Finland,7191,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
26,Brazil,5569,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
27,Austria,4909,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
28,Sweden,4824,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
29,Czech Republic,4722,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
30,Netherlands,4252,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
31,Republic of Korea,3250,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
32,Monaco,3206,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
33,Ukraine,3147,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
34,Belgium,2750,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
35,Unknown,2036,Reported by exporter; Date range - 2014 - 2023; Unit - Number of specimens; Origin - Direct; Source - W; Taxonomic group - Mammals; 
